complex,prediction,n,entrez
BMP2-BRIA complex,ENDOPLASMIC RETICULUM|SECRETORY|UNKNOWN,3,12156; 12159; 12166
BORC complex,ENDOSOME,8,20615; 14533; 73689; 67774; 66439; 72368; 71923; 75620
BP-SMAD complex,LARGE PROTEIN COMPLEX,8,12013; 55994; 14623; 19182; 13872; 17859; 21847; 21810
"BRAF-CNK1 complex, not RAS stimulated",CYTOSOL,2,109880; 194231
BRAF-MAP2K1-MAP2K2-YWHAE complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,4,109880; 26396; 22627; 26395
BRAF-RAF1-14-3-3 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,110157; 109880; 22631
BRAF53-BRCA2 complex,NUCLEUS,7,99982; 12190; 433759; 15182; 192285; 15353; 217864
BRAFT complex,LARGE PROTEIN COMPLEX,13,60534; 14087; 19891; 68275; 68240; 17350; 12144; 14088; 21975; 74386; 72775; 100040608; 67030
BRCA1 A complex,NUCLEUS,4,12189; 70681; 20184; 12021
BRCA1 B complex,NUCLEUS,3,12013; 12189; 12021
BRCA1 C complex,NUCLEUS,4,12189; 20184; 225182; 12021
BRCA1-BACH1 complex,NUCLEUS,2,12189; 237911
BRCA1-BARD1-BACH1-DNA damage complex I,NUCLEUS,6,12013; 12189; 17350; 17688; 235559; 12021
BRCA1-BARD1-BACH1-DNA damage complex II,NUCLEUS,8,12013; 27354; 12189; 17535; 235559; 19360; 225182; 12021
BRCA1-BARD1-BRCA2-DNA damage complex III,NUCLEUS,3,12189; 12190; 12021
BRCA1-BARD1-POLR2A complex,NUCLEUS,3,20020; 12189; 12021
BRCA1-BARD1-UbcH7c complex,NUCLEUS,3,12189; 22195; 12021
BRCA1-cABL complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,11350; 12189
BRCA1-core RNA polymerase II complex,LARGE PROTEIN COMPLEX,13,69241; 20021; 66420; 20020; 231329; 69920; 12189; 245841; 20022; 17749; 69833; 67710; 66491
BRCA1-CtIP-CtBP complex,NUCLEUS,3,12189; 13016; 225182
BRCA1-HDAC1-HDAC2 complex,NUCLEUS,3,12189; 433759; 15182
BRCA1-IRIS-pre-replication complex,NUCLEUS,4,57441; 18392; 12189; 23834
BRCA1-LMO4-CTIP complex,NUCLEUS,3,12189; 16911; 225182
BRCA1-RAD50-MRE11-NBS1 complex,NUCLEUS,4,27354; 12189; 17535; 19360
BRCA1-RAD51 complex,NUCLEUS,2,12189; 19361
BRCA1-RNA polymerase II complex,LARGE PROTEIN COMPLEX,26,69241; 68705; 13871; 20021; 66420; 13872; 21374; 20020; 74197; 68153; 231329; 14884; 98053; 69920; 12189; 245841; 20022; 17749; 69833; 67710; 66491; 229906; 108098; 23894; 209357; 14885
BRCA1-SMAD3 complex,NUCLEUS,2,12189; 17127
BRCA1-VCP complex,NUCLEUS,2,12189; 269523
BRCC complex,UNKNOWN,5,12189; 210766; 12190; 19361; 107976
Brd4-P-TEFb complex,NUCLEUS,3,107951; 57261; 12455
BRD7-BAF60A-MEP50 complex,NUCLEUS,3,83797; 70465; 26992
BRD7-CBP-SWI\u2013SNF complex,NUCLEUS,7,27374; 67155; 20586; 72057; 57376; 26992; 94212
BRD7-EZH2-SUZ12 complex,NUCLEUS,3,52615; 14056; 26992
BRD7-SWI\u2013SNF complex,NUCLEUS,11,93760; 27374; 56456; 67155; 20586; 68094; 72057; 20588; 57376; 83797; 26992
BRD7-SWI\u2013SNF-SUZ12 complex,NUCLEUS,5,67155; 20586; 52615; 26992; 214572
Brg1-based SWI/SNF complex,NUCLEUS,4,56456; 20587; 68094; 20588
BRG1-SIN3A complex,NUCLEUS,14,93760; 27374; 56456; 20586; 19646; 20587; 66993; 68094; 15182; 20588; 83796; 57376; 83797; 20466
BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I,NUCLEUS,11,93760; 27374; 56456; 20586; 20587; 68094; 15182; 20588; 57376; 83797; 20466
BRM-SIN3A complex,NUCLEUS,15,93760; 27374; 56456; 67155; 19646; 20587; 433759; 66993; 68094; 15182; 20588; 83796; 57376; 83797; 20466
BRM-SIN3A-HDAC complex,NUCLEUS,12,93760; 27374; 56456; 67155; 20587; 68094; 15182; 20588; 83796; 57376; 83797; 20466
BRMS1-RBP1 complex,NUCLEUS,2,94246; 107392
BRMS1-SIN3-HDAC complex,NUCLEUS,8,20467; 60406; 19646; 433759; 245688; 15182; 20466; 107392
BUB1-BUB3 complex,LARGE PROTEIN COMPLEX,2,12235; 12237
BVR-PKCD-ERK2 complex,LARGE PROTEIN COMPLEX,3,26413; 109778; 18753
c-Abl-CAS-Abi1 complex,LARGE PROTEIN COMPLEX,3,11350; 12927; 11308
c-Abl-cortactin-nmMLCK complex,UNKNOWN,3,11350; 13043; 107589
C-CFTR-NHERF-ezrin complex,PLASMA MEMBRANE,3,26941; 12638; 22350
c-MYC-ATPase-helicase complex,LARGE PROTEIN COMPLEX|NUCLEUS,5,56456; 17869; 20174; 56505; 100683
c-Myc-Max-Arf complex,NUCLEUS,3,17869; 17187; 12578
c-Src immune complex,CYTOSOL|UNKNOWN,14,22143; 20779; 18754; 18750; 18753; 14083; 12389; 26413; 22142; 14715; 16706; 26417; 22330; 19303
c-Src-Muc1 complex,LARGE PROTEIN COMPLEX,2,12988; 17829
C/EBPalpha-HNF6 complex,UNCLASSIFIED,2,12606; 15379
C1q complex,UNKNOWN,3,12259; 12260; 12262
C3G-Crkl-Shp2 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,19247; 12929; 107746
C3G-Crkl-Shp2-Cbl-Egfr complex,CYTOSOL|UNKNOWN,5,12402; 19247; 12929; 13649; 107746
C3G-Crkl-Shp2-Gab2-TrkA complex,CYTOSOL,5,18211; 19247; 12929; 14389; 107746
C9orf72-SMCR8 complex,CYTOSOL|UNKNOWN,2,237782; 73205
C9orf72-SMCR8-WDR41 complex,CYTOSOL|UNKNOWN,3,237782; 73205; 218460
Cacna1d-Kcnn4 complex,SECRETORY|UNKNOWN,2,16534; 12289
CADM1-4.1B-MPP3 complex,PLASMA MEMBRANE,3,13384; 54725; 13823
CADM1-DLG1-MPP3-PIK3R1 complex,PLASMA MEMBRANE,4,13383; 18708; 13384; 54725
CAK complex (Cdk-activating kinase complex),NUCLEUS,3,12572; 66671; 17420
CAK core complex (Cdk-activating kinase core complex),NUCLEUS,2,12572; 66671
CAK-ERCC2 complex,NUCLEUS,4,13871; 12572; 66671; 17420
Calcineurin,PLASMA MEMBRANE|UNKNOWN,2,19058; 19055
Calcineurin (subunit CnA) -Cacng8 complex,ACTIN BINDING PROTEINS|CYTOSOL|PLASMA MEMBRANE|UNKNOWN,2,19055; 81905
Calcineurin (subunit CnA)-Cacng8-Tuba1a complex,ACTIN BINDING PROTEINS|CYTOSOL|PLASMA MEMBRANE|UNKNOWN,3,19055; 22142; 81905
"Calcineurin complex (Calna, Cna2, Gria1, Gria2, Cacng8)",PLASMA MEMBRANE|UNKNOWN,5,14799; 14800; 19058; 19055; 81905
Calcineurin-FKBP12 complex,UNKNOWN,3,14225; 19058; 19055
CALM1-KCNQ2-KCNQ3 complex,LARGE PROTEIN COMPLEX|SECRETORY,3,110862; 12313; 16536
Calpain 1,CYTOSOL,2,12336; 12333
Calpain 2,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,12336; 12334
Calprotectin heterotetramer,UNCLASSIFIED,2,20201; 20202
Calreticulin homo-oligomer complex,ENDOPLASMIC RETICULUM,1,12317
CAMK2-delta-MASH1 promoter-coactivator complex,NUCLEUS,8,11545; 20779; 20020; 108058; 15205; 53610; 12914; 18519
CAND1-CUL1-RBX1 complex,LARGE PROTEIN COMPLEX,3,100043674; 26965; 71902
CAND1-CUL2-RBX1 complex,LARGE PROTEIN COMPLEX,3,100043674; 71745; 71902
CAND1-CUL3-RBX1 complex,LARGE PROTEIN COMPLEX,3,100043674; 26554; 71902
CAND1-CUL4A-RBX1 complex,LARGE PROTEIN COMPLEX,3,100043674; 99375; 71902
CAND1-CUL4B-RBX1 complex,LARGE PROTEIN COMPLEX,3,100043674; 72584; 71902
CAP-cbl-flotilin complex,ACTIN BINDING PROTEINS|UNKNOWN,3,14251; 12402; 20411
CAP(C)-CAP(E) complex,LARGE PROTEIN COMPLEX,2,14211; 70099
CAPG-PRMT5 complex,CYTOSOL|LARGE PROTEIN COMPLEX,2,27374; 12332
CAPN1-HSP90AB1 complex,CYTOSOL,2,12333; 15516
CAPZA3-CAPZB complex,LARGE PROTEIN COMPLEX,2,12345; 12344
CAPZalpha-CAPZbeta complex,LARGE PROTEIN COMPLEX,2,12345; 12340
Car-Jam3 complex,PLASMA MEMBRANE,2,13052; 83964
Car-Lnx2 complex,PLASMA MEMBRANE,2,13052; 140887
Carboxypeptidase N,CYTOSOL,2,93721; 71756
CARMA1-BCL10-MALT1 complex,CYTOSOL|UNKNOWN,3,12042; 108723; 240354
CART complex,UNKNOWN,4,15239; 60595; 55992; 17919
CAS-SRC-FAK complex,LARGE PROTEIN COMPLEX,3,20779; 12927; 14083
"Casein kinase II (beta-dimer, alpha-dimer)",LARGE PROTEIN COMPLEX,2,13001; 12995
"Casein kinase II (beta-dimer, alpha, alpha')",LARGE PROTEIN COMPLEX,3,13000; 13001; 12995
"Casein kinase II (beta-dimer, alpha'-dimer)",LARGE PROTEIN COMPLEX,2,13000; 13001
CASK-Caskin1 complex,PLASMA MEMBRANE,2,12361; 268932
Cask-Dlg1 complex,PLASMA MEMBRANE,2,12361; 13383
Cask-Grip1-Gria2-Mint1 complex,CYTOSOL|PLASMA MEMBRANE|UNKNOWN,4,319924; 14800; 74053; 12361
Cask-Grip1-Prkce-Rgs4-Gria2 complex,CYTOSOL|PLASMA MEMBRANE|UNKNOWN,5,18754; 14800; 19736; 74053; 12361
CASK-LIN7C-APBA1 complex,PLASMA MEMBRANE,3,12361; 319924; 22343
CASP8-CHUK-IKBKB-MALT1-BCL10 complex,CYTOSOL,5,16150; 12675; 12042; 12370; 240354
CASP8-FADD-MALT1-BCL10 complex,CYTOSOL,4,12042; 14082; 12370; 240354
Caspase-2-TRAF2-RIP1 complex,CYTOSOL|UNKNOWN,3,12366; 22030; 19765
"Catsper complex, testis-specific",NUCLEUS|SECRETORY|UNKNOWN,7,212670; 271036; 320225; 106757; 76856; 329954; 225865
CatSper1-CatSpere-CatSperz complex,SECRETORY,3,631584; 225865; 67077
CAV1-VDAC1-ESR1 complex,MITOCHONDRIA,3,13982; 22333; 12389
Caveolar macromolecular signaling complex,LARGE PROTEIN COMPLEX|PLASMA MEMBRANE,7,11555; 19088; 12391; 14683; 11514; 12288; 51792
Caveolin complex,ACTIN BINDING PROTEINS,6,109754; 12389; 11461; 11465; 12390; 14252
Caveolin-1 homodimer complex,ACTIN BINDING PROTEINS|PLASMA MEMBRANE|SECRETORY|UNKNOWN,1,12389
CB1-Gphn-Nlgn2 complex,UNKNOWN,3,216856; 330914; 268566
CBC complex (cap binding complex),LARGE PROTEIN COMPLEX|NUCLEUS,2,68092; 433702
CBF-DNA complex,NUCLEUS,3,18044; 18045; 18046
CBF1-HDAC1-SMRT complex,NUCLEUS,3,19664; 433759; 20602
Cbl-Cd2ap complex,CYTOSOL|UNKNOWN,2,12402; 12488
Cbl-Cd2ap-Flt1 complex,CYTOSOL|UNKNOWN,3,12402; 14254; 12488
Cbl-Frs2-Grb2 complex,LARGE PROTEIN COMPLEX|PLASMA MEMBRANE|UNKNOWN,3,12402; 14784; 327826
"Cbl-SLP-76-Grb2 complex, Fc receptor gamma-R1 stimulated",LARGE PROTEIN COMPLEX|UNKNOWN,3,12402; 14784; 16822
"CBP-RARA-RXRA-DNA complex, ligand stimulated",NUCLEUS,3,19401; 20181; 12914
CBX3-EHMT1-NR3C1 complex,NUCLEUS,3,14815; 12417; 77683
CBX3-EHMT2-NR3C1 complex,NUCLEUS,3,14815; 12417; 110147
CC2D2A-CEP290 complex,LARGE PROTEIN COMPLEX|UNKNOWN,2,216274; 231214
Ccd1-Axin complex,UNKNOWN,2,12005; 330938
CCD1-Axin complex,UNKNOWN,2,12005; 330938
Ccd1-Dvl2-Rac complex,UNKNOWN,3,19353; 13543; 330938
Ccd1-Mekk4 complex,UNKNOWN,2,26407; 330938
CCDC22-CCDC93-C16orf62 complex,ENDOSOME,3,54638; 70829; 71517
CCDC22-CCDC93-C16orf62-FAM21-WASH1 complex,ENDOSOME,5,68767; 54638; 70829; 71517; 28006
CCDC22-COMMD1-CUL2 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,54638; 71745; 17846
CCDC22-COMMD8-CUL1 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,54638; 26965; 27784
CCDC92-CEP164 complex,CYTOSOL,2,215707; 214552
Ccm2-Krit1 complex,UNKNOWN,2,79264; 216527
Ccna2-Cdk2 complex,LARGE PROTEIN COMPLEX,2,12428; 12566
CCNB1-CCNF complex,CYTOSOL|ENDOSOME|UNKNOWN,2,268697; 12449
CCNB1-CDC2 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,12534; 268697
Ccnb1-Itpr1-Cdk1 signaling complex,CYTOSOL|ENDOPLASMIC RETICULUM|LARGE PROTEIN COMPLEX|UNKNOWN,3,16438; 268697; 12534
CCNB2-CDC2 complex,LARGE PROTEIN COMPLEX|UNKNOWN,2,12442; 12534
Ccnd1-Cdk4 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,12443; 12567
CCND1-CDK4 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,12567; 12443
CCND1-CDK6 complex,CYTOSOL,2,12443; 12571
CCND2-CDK4 complex,UNKNOWN,2,12567; 12444
CCND2-CDK6 complex,CYTOSOL,2,12444; 12571
CCND3-CDK4 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,12567; 12445
CCND3-CDK6 complex,CYTOSOL,2,12445; 12571
CCNT1- CDK9-GRN complex,NUCLEUS,3,12455; 14824; 107951
CCP110-CEP290 complex,UNKNOWN,2,216274; 101565
Ccp110-Cep290-Rab8a complex,UNKNOWN,3,17274; 216274; 101565
CCR4-NOT complex,LARGE PROTEIN COMPLEX,9,234594; 232791; 58184; 231464; 78893; 72068; 18983; 52846; 104625
CCR4-NOT-CNOT7-CNOT6 complex,LARGE PROTEIN COMPLEX,9,234594; 232791; 58184; 228140; 78893; 72068; 18983; 52846; 104625
CCR4-NOT-CNOT7-CNOT6L complex,LARGE PROTEIN COMPLEX,9,234594; 232791; 58184; 231464; 228140; 78893; 72068; 18983; 52846
CCR4-NOT-CNOT8-CNOT6 complex,LARGE PROTEIN COMPLEX,9,234594; 232791; 58184; 228140; 78893; 72068; 69125; 52846; 104625
CCR4-NOT-CNOT8-CNOT6L complex,LARGE PROTEIN COMPLEX,9,234594; 232791; 58184; 231464; 228140; 78893; 72068; 69125; 52846
CCT complex (chaperonin containing TCP1 complex),LARGE PROTEIN COMPLEX,8,21454; 12466; 12465; 12462; 12469; 12464; 12461; 12468
"CCT complex (chaperonin containing TCP1 complex), testis specific",LARGE PROTEIN COMPLEX,8,12468; 12464; 21454; 12467; 12462; 12465; 12461; 12469
CCT-Pdcl complex,LARGE PROTEIN COMPLEX,9,12465; 12468; 12464; 21454; 12466; 12462; 12461; 12469; 67466
CCT-Prefoldin complex,LARGE PROTEIN COMPLEX,14,14976; 67199; 22327; 12468; 12464; 21454; 12466; 12462; 12465; 12461; 12469; 56612; 109054; 18637
"CCT-Prefoldin complex, testis specific",LARGE PROTEIN COMPLEX,14,14976; 67199; 22327; 12468; 12464; 21454; 12467; 12462; 12465; 12461; 12469; 56612; 109054; 18637
CD147-gamma-secretase complex,PLASMA MEMBRANE,5,12215; 19164; 59287; 226548; 66340
CD19-VAV1-PIK3R1 complex,CYTOSOL|UNKNOWN,3,12478; 22324; 18708
"CD20-LCK-LYN-FYN-p75/80 complex, (Raji human B cell line)",PLASMA MEMBRANE,4,16818; 14360; 17096; 12482
Cd247 homodimer complex,UNCLASSIFIED,1,12503
CD28-transactivation complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,12487; 17975
Cd2ap-Cdh3-Ctnnd1-Nphs1 complex,PLASMA MEMBRANE,4,12388; 12488; 12560; 54631
Cd2ap-Fyn complex,PLASMA MEMBRANE,2,14360; 12488
Cd2ap-Nphs1-Sept7 complex,LARGE PROTEIN COMPLEX,3,12488; 54631; 235072
Cd2ap-Synpo complex,UNKNOWN,2,104027; 12488
Cd3d-Cd3g-Cd3e-Cd247 complex,UNCLASSIFIED,4,12500; 12502; 12501; 12503
Cd3e homodimer complex,UNCLASSIFIED,1,12501
Cd3e-Nck1-Mink1 complex,LARGE PROTEIN COMPLEX|UNKNOWN,3,12501; 17973; 50932
Cd3g-Cd3e complex,UNCLASSIFIED,2,12502; 12501
Cd3g-Cd3e-Cd247-Canx complex,ENDOPLASMIC RETICULUM,4,12502; 12501; 12503; 12330
CD44-ERK1-ERK2-RHAMM complex,LARGE PROTEIN COMPLEX,4,15366; 12505; 26417; 26413
CD44-LRP1 complex,ENDOSOME|PLASMA MEMBRANE|SECRETORY,2,12505; 16971
Cd44-Ots8 complex,PLASMA MEMBRANE|SECRETORY,2,12505; 14726
CD6\u2013SLP-76-Zap70 complex,UNCLASSIFIED,3,22637; 16822; 12511
Cd74-Cd44 receptor complex,PLASMA MEMBRANE,2,16149; 12505
CD8A-LCK complex,SECRETORY,2,12525; 16818
CD98-LAT2-ITGB1 complex,PLASMA MEMBRANE,3,16412; 17254; 50934
CDC2-CCNA2 complex,LARGE PROTEIN COMPLEX,2,12534; 12428
CDC2-CCNA2-CDK2 complex,LARGE PROTEIN COMPLEX,3,12534; 12428; 12566
Cdc2-Ccnb1 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,12534; 268697
CDC2-CCNB1-PTCH1 complex,UNKNOWN,3,12534; 268697; 19206
CDC2-PCNA-CCNB1-GADD45A complex,CYTOSOL|LARGE PROTEIN COMPLEX,4,12534; 18538; 268697; 13197
CDC2-PCNA-CCNB1-GADD45B complex,LARGE PROTEIN COMPLEX,4,17873; 12534; 18538; 268697
CDC2-PCNA-CCNB1-GADD45G complex,LARGE PROTEIN COMPLEX,4,23882; 12534; 18538; 268697
Cdc42-Par6b-Par3-Prkci complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,4,12540; 18759; 93742; 58220
CDC5L core complex,LARGE PROTEIN COMPLEX,6,53317; 68183; 15481; 231659; 71702; 28000
CDC7-DBF7 complex,NUCLEUS,2,12545; 27214
CDH1-CKS1B complex,LARGE PROTEIN COMPLEX|UNKNOWN,2,12550; 54124
CDH1-SKP2 complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,12550; 27401
Cdh23-Myo1c complex,PLASMA MEMBRANE,2,22295; 17913
CDH4-HDAC2-MTA2-RBBP7-TWIST1 complex,NUCLEUS,5,23942; 107932; 22160; 245688; 15182
CDK1-CCNB1-CCNF complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,12534; 268697; 12449
Cdk1-Hspa2-tNasp complex,LARGE PROTEIN COMPLEX,3,12534; 15512; 50927
CDK2-CCNA2 complex,LARGE PROTEIN COMPLEX,2,12428; 12566
CDK2-CCNE1 complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,12447; 12566
Cdk5-c-Abl-Cables complex,LARGE PROTEIN COMPLEX,3,11350; 12568; 63955
Cdk5-Cdk5r1 complex,LARGE PROTEIN COMPLEX,2,12568; 12569
CDK5-CDK5R1 complex,LARGE PROTEIN COMPLEX,2,12568; 12569
Cdk5-Cdk5r1-Pctk1 complex,LARGE PROTEIN COMPLEX,3,12568; 12569; 18555
Cdk5-p39-CaMKII(alpha)-(alpha)actinin1 complex,ACTIN BINDING PROTEINS|CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,4,12570; 12322; 12568; 109711
"CDK8 subcomplex (CCNC, CDK8, MED12, MED13)",NUCLEUS,4,51813; 264064; 59024; 327987
"CDK8 subcomplex (CCNC, CDK8, MED12)",NUCLEUS,3,51813; 264064; 59024
"CDK8 subcomplex (CCNC, CDK8, MED13)",NUCLEUS,3,51813; 264064; 327987
CDK8-CyclinC-Mediator complex,NUCLEUS,2,51813; 264064
Cdk9- Il6st complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,16195; 107951
CDK9-IL6ST complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,16195; 107951
Cebpa-Nfya complex,NUCLEUS,2,18044; 12606
Cebpa-Smarca2 complex,NUCLEUS,2,67155; 12606
CEBPE-E2F1-RB1 complex,NUCLEUS,3,19645; 13555; 110794
Cell cycle kinase complex CDC2,LARGE PROTEIN COMPLEX,6,12442; 12534; 18538; 268697; 12443; 12575
Cell cycle kinase complex CDK2,LARGE PROTEIN COMPLEX,4,18538; 12443; 12566; 12575
Cell cycle kinase complex CDK4,LARGE PROTEIN COMPLEX,4,12567; 18538; 12443; 12575
Cell cycle kinase complex CDK5,LARGE PROTEIN COMPLEX,5,18538; 12443; 12445; 12575; 12568
"Cell division cycle complex (CDC27, CDC16, ANAPC7)",LARGE PROTEIN COMPLEX,3,217232; 69957; 56317
Cell-cell junction complex (ARHGAP10-CTNNA1),LARGE PROTEIN COMPLEX|PLASMA MEMBRANE,2,78514; 12385
Cell-cell junction complex (CDH1-CTNNB1),PLASMA MEMBRANE,2,12550; 12387
CENP-A NAC complex,NUCLEUS,6,12617; 71876; 320394; 72155; 26886; 66570
CENP-H-I complex,NUCLEUS,11,67733; 66336; 71876; 83815; 70454; 102920; 72155; 60411; 52504; 26886; 66570
CENP-O complex,NUCLEUS,5,71876; 52504; 83815; 67733; 66336
CENP-O subcomplex,NUCLEUS,4,71876; 52504; 83815; 66336
CENP-S-X complex,NUCLEUS,2,20892; 69928
CENP-T-W complex,NUCLEUS,2,66311; 320394
CENP-T-W-S-X heterotetramer complex,NUCLEUS,4,20892; 66311; 69928; 320394
CEP164-DZIP1 complex,MITOCHONDRIA,2,66573; 214552
CEP164-TTBK2 complex,CYTOSOL,2,140810; 214552
Cep290-Iqcb1 complex,UNKNOWN,2,216274; 320299
CEP290-IQCB1 complex,UNKNOWN,2,216274; 320299
CERF complex (CECR2-containing remodeling factor complex),NUCLEUS,2,93761; 330409
CFTR-GOPC-STX6 complex,ENDOSOME|UNKNOWN,3,58244; 12638; 94221
CFTR-NHERF-beta(2)AR signaling complex,PLASMA MEMBRANE,3,26941; 11555; 12638
"cGMP kinase signaling complex (IP3RI, IRAG, cGKI-beta, alpha-actin, calponin H1, PLN, RhoA)",UNKNOWN,7,18821; 19091; 11848; 11475; 12797; 17540; 16438
"cGMP kinase signaling complex (IP3RI, IRAG, cGKI-beta)",ENDOPLASMIC RETICULUM,3,19091; 17540; 16438
Channel complex TRPM6-TRPM7,ENDOPLASMIC RETICULUM|SECRETORY,2,58800; 225997
CHIP-HSC70-TAU-UBCH5B complex,LARGE PROTEIN COMPLEX,4,17762; 15481; 56550; 56424
CHL2-BMP2 complex,SECRETORY,2,12156; 69121
CHL2-BMP2-TSG complex,SECRETORY|UNKNOWN,3,12156; 69121; 65960
CHRNA2-CHRNB4 complex,UNCLASSIFIED,2,108015; 110902
Chrna4-Chrnb2-P2rx2 complex,UNCLASSIFIED,3,11438; 11444; 231602
CHRNA7-GRIN2A complex,UNCLASSIFIED,2,11441; 14811
CHRNA7-NMDAR1 complex,UNCLASSIFIED,2,11441; 14810
CHRNA9-CHRNA10 complex,UNCLASSIFIED,2,504186; 231252
Chromatin assembly complex (CAF-1 complex),NUCLEUS,3,19646; 27221; 110749
"Chromatin remodeling complex (TACC2, TACC3, PCAF)",CYTOSOL,3,57752; 18519; 21335
"Chromosomal passenger complex CPC (CDCA8, AURKB, BIRC5)",NUCLEUS,3,11799; 52276; 20877
"Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)",NUCLEUS,3,11799; 20877; 16319
"Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)",NUCLEUS,4,11799; 52276; 20877; 16319
"Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5)",NUCLEUS,3,11799; 52276; 16319
CHTF18-RFC2-5 complex,LARGE PROTEIN COMPLEX,5,106344; 19718; 72151; 69263; 214901
CHUK-IQGAP2-AKAP8L-RELA-TNIP2 complex,CYTOSOL|UNKNOWN,5,12675; 19697; 544963; 231130; 54194
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,CYTOSOL,12,18037; 12675; 70834; 18033; 18035; 50797; 18034; 19697; 19696; 57783; 231130; 16151
CIA2B-CIA1-MMS19 complex,LARGE PROTEIN COMPLEX|UNKNOWN,3,26371; 72199; 68523
"CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)",CYTOSOL,7,12402; 18708; 12928; 12927; 14784; 20662; 58194
CIN85 homotetramer complex,LARGE PROTEIN COMPLEX,1,58194
CIN85-BLNK complex,LARGE PROTEIN COMPLEX,2,17060; 58194
CIN85-CBL complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,12402; 58194
CIN85-SH3GL3-CBL complex,CYTOSOL|UNKNOWN,3,12402; 58194; 20408
"Class C Vps complex (hVPS11, hVPS18, hVPS16, rVPS33a )",ENDOSOME,4,77573; 80743; 71732; 228545
"Class C Vps complex (hVPS11, hVPS18, rVPS33a )",ENDOSOME,3,77573; 71732; 228545
"Class C Vps complex (VPS11, VPS18, STX7)",ENDOSOME,3,53331; 71732; 228545
"Class C Vps complex (VPS11, VPS18, VPS16)",ENDOSOME,3,80743; 71732; 228545
Class C VPS/HOPS complex,ENDOSOME,6,271457; 216238; 269338; 80743; 71732; 228545
Clathrin-CAP-1A-Na(v)1.8 channel complex,CYTOSOL,3,67300; 20264; 67161
Cleavage stimulation factor,LARGE PROTEIN COMPLEX|NUCLEUS,3,108062; 67337; 228410
CLEC4E-FCER1G complex,CYTOSOL,2,14127; 56619
CLEC4E-MS4A2 complex,UNCLASSIFIED,2,14126; 56619
CLIC4 complex,LARGE PROTEIN COMPLEX,7,12709; 13430; 11461; 22627; 22631; 22142; 29876
Clock-Bmal1-Cry1 complex,NUCLEUS,3,12753; 12952; 11865
Clock-Bmal1-Cry2 complex,NUCLEUS,3,12753; 12953; 11865
"ClpP complex, heptameric",MITOCHONDRIA,1,53895
"ClpX complex, hexameric",MITOCHONDRIA,1,270166
ClpXP complex,MITOCHONDRIA,2,270166; 53895
CLTC-PI4K2A complex,ENDOSOME,2,67300; 84095
CNK1 homodimer complex,CYTOSOL,1,194231
CNK1-SRC-RAF1 complex,CYTOSOL|PLASMA MEMBRANE,3,110157; 20779; 194231
CNOT1-CNOT2-CNOT3 complex,LARGE PROTEIN COMPLEX,3,234594; 232791; 72068
CNTF-CNTFR-gp130-LIFR complex,UNKNOWN,4,12803; 12804; 16195; 16880
Cntn1-Kcna1 complex,ENDOSOME|SECRETORY,2,16485; 12805
Cntnap2-Kcna2 complex,UNCLASSIFIED,2,16490; 66797
Cntnap2-Kcnab2 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,16498; 66797
"Coat protein complex II (SAR1B, PREB, SEC23A , SEC24B, SEC23IP)",LARGE PROTEIN COMPLEX,5,99683; 20334; 50907; 66397; 207352
Coatomer complex,LARGE PROTEIN COMPLEX,7,50797; 59042; 56447; 213827; 12847; 70349; 54161
Coatomer-Arf1 complex,LARGE PROTEIN COMPLEX,8,50797; 59042; 56447; 11840; 213827; 12847; 70349; 54161
Cofilin-actin-CAP1 complex,CYTOSOL,3,12631; 11461; 12331
